Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,101.070000,101.316002,97.577499,98.225998,98.225998,296616000
2019-07-22,98.556999,100.065002,96.225502,97.152496,97.152496,345968000
2019-07-29,96.500000,96.611504,90.401001,91.162003,91.162003,430886000
2019-08-05,88.511002,91.712997,87.439003,90.378998,90.378998,444728000
2019-08-12,89.799500,91.586998,87.861000,89.628502,89.628502,371404000
2019-08-19,90.903999,91.478996,87.261497,87.481003,87.481003,294038000
2019-08-26,88.345497,89.987000,87.175499,88.814499,88.814499,291864000
2019-09-02,88.500000,92.099998,88.400002,91.675499,91.675499,233496000
2019-09-09,92.050003,92.682999,90.266998,91.967003,91.967003,256820000
2019-09-16,91.200996,91.628502,89.045998,89.708000,89.708000,310738000
2019-09-23,88.849998,89.785500,85.691002,86.272499,86.272499,369510000
2019-09-30,86.349503,87.779999,84.252998,86.982498,86.982498,299408000
2019-10-07,86.581497,87.391502,85.250000,86.596001,86.596001,251408000
2019-10-14,86.445503,89.942497,86.099998,87.875504,87.875504,275904000
2019-10-21,88.483002,89.488998,84.750000,88.066498,88.066498,409056000
2019-10-28,87.403000,89.872498,87.125000,89.571999,89.571999,280136000
2019-11-04,90.050499,90.752998,88.702003,89.293999,89.293999,229232000
2019-11-11,88.900002,89.310997,86.642998,86.974503,86.974503,263310000
2019-11-18,86.915001,88.125999,86.135498,87.286003,87.286003,260846000
2019-11-25,87.662498,91.234497,87.662003,90.040001,90.040001,232328000
2019-12-02,90.220001,90.277496,87.000000,87.580002,87.580002,318356000
2019-12-09,87.532997,88.449501,86.750000,88.046997,88.046997,257926000
2019-12-16,88.349998,90.148499,87.852501,89.324997,89.324997,358892000
2019-12-23,89.413002,95.070000,89.225502,93.489998,93.489998,304194000
2019-12-30,93.699997,94.900497,91.611504,93.748497,93.748497,279492000
2020-01-06,93.000000,95.890999,93.000000,94.157997,94.157997,352714000
2020-01-13,94.565498,94.900002,92.754501,93.236000,93.236000,315502000
2020-01-20,93.250000,95.125000,92.372002,93.082001,93.082001,263498000
2020-01-27,91.000000,102.786003,90.766998,100.435997,100.435997,606384000
2020-02-03,100.529999,104.926498,100.012497,103.963997,103.963997,476710000
2020-02-10,104.250504,109.297501,104.248001,106.743500,106.743500,395490000
2020-02-17,106.250999,109.254997,104.400002,104.798500,104.798500,265688000
2020-02-24,100.158997,101.964996,90.556503,94.187500,94.187500,712314000
2020-03-02,95.324501,99.816498,93.474998,95.054497,95.054497,581818000
2020-03-09,88.693001,94.713501,83.750000,89.250000,89.250000,814544000
2020-03-16,82.075500,97.849998,81.301498,92.304497,92.304497,993948000
2020-03-23,91.387497,97.824501,90.599998,95.004997,95.004997,660878000
2020-03-30,96.141502,99.651001,94.457497,95.329498,95.329498,466350000
2020-04-06,96.800003,102.650002,96.500999,102.138000,102.138000,390220000
2020-04-13,102.000000,123.050003,101.900002,118.750000,118.750000,832774000
2020-04-20,119.497498,122.249001,113.983002,120.511002,120.511002,527022000
2020-04-27,122.160004,123.750000,112.909500,114.302002,114.302002,696276000
2020-05-04,112.819000,119.362000,112.819000,118.980499,118.980499,356584000
2020-05-11,118.735001,120.983498,116.889999,120.488998,120.488998,380002000
2020-05-18,120.217499,126.272499,119.200500,121.844002,121.844002,413146000
2020-05-25,122.900002,123.099998,116.500000,122.118500,122.118500,306504000
2020-06-01,122.400002,125.376999,121.856499,124.150002,124.150002,287698000
2020-06-08,125.010002,136.117493,124.366997,127.250999,127.250999,506578000
2020-06-15,126.330002,134.871506,125.400002,133.750504,133.750504,373496000
2020-06-22,134.225006,139.800003,133.449997,134.643494,134.643494,428732000
2020-06-29,134.500504,147.778000,131.503998,144.514999,144.514999,418998000
2020-07-06,146.748505,160.750000,146.500000,160.000000,160.000000,581008000
2020-07-13,162.552994,167.214493,145.911499,148.098495,148.098495,637934000
2020-07-20,150.009995,162.029007,144.399994,150.445496,150.445496,582260000
2020-07-27,153.100006,162.341003,149.787994,158.233994,158.233994,489702000
2020-08-03,159.025497,162.373505,155.060501,158.373001,158.373001,431244000
2020-08-10,158.515503,160.876007,153.649994,157.401001,157.401001,326164000
2020-08-17,158.656006,166.000000,157.709000,164.235992,164.235992,382614000
2020-08-24,165.507507,172.649994,162.878006,170.089996,170.089996,446592000
2020-08-31,170.449493,177.612503,155.556503,164.731003,164.731003,569850000
2020-09-07,157.199997,167.494507,154.199005,155.811005,155.811005,434152000
2020-09-14,158.647003,159.369507,145.276993,147.745499,147.745499,568100000
2020-09-21,145.324997,156.699493,143.550003,154.756500,154.756500,577280000
2020-09-28,157.442505,161.199997,155.858505,156.250000,156.250000,464022000
2020-10-05,157.292007,164.449493,154.500000,164.332504,164.332504,425072000
2020-10-12,167.496994,174.811996,158.000000,163.635498,163.635498,632388000
2020-10-19,164.980499,166.449997,156.097000,160.220001,160.220001,440094000
2020-10-26,159.936996,164.582993,150.949997,151.807495,151.807495,615268000
2020-11-02,153.087006,168.339996,147.505997,165.568497,165.568497,588618000
2020-11-09,161.551498,164.449997,150.973999,156.440506,156.440506,525330000
2020-11-16,154.660004,159.462494,153.634506,154.970001,154.970001,331098000
2020-11-23,155.835007,160.809494,153.272995,159.766998,159.766998,289886000
2020-11-30,160.423996,162.447495,156.277496,158.128998,158.128998,350716000
2020-12-07,157.824005,159.206497,153.641006,155.820999,155.820999,324666000
2020-12-14,157.149994,163.175507,156.300003,160.082504,160.082504,427458000
2020-12-21,160.000504,161.348495,158.300003,158.634506,158.634506,195038000
2020-12-28,159.699997,167.532501,158.634506,162.846497,162.846497,334524000
2021-01-04,163.500000,163.600006,156.557999,159.134995,159.134995,370278000
2021-01-11,157.400497,159.497498,154.300003,155.212494,155.212494,356682000
2021-01-18,155.350006,167.427505,154.800003,164.611496,164.611496,327458000
2021-01-25,166.425003,168.194504,159.227493,160.309998,160.309998,376160000
2021-02-01,162.117996,171.699997,161.751495,167.607498,167.607498,512782000
2021-02-08,167.925003,168.250000,161.665497,163.885498,163.885498,264984000
2021-02-15,162.702499,166.899994,162.287506,162.494995,162.494995,264096000
2021-02-22,160.406494,161.615997,151.835007,154.646500,154.646500,400278000
2021-03-01,156.394501,158.175995,144.050003,150.022995,150.022995,403676000
2021-03-08,150.750000,156.589005,147.565506,154.474503,154.474503,328516000
2021-03-15,153.728500,158.652496,150.831497,153.748001,153.748001,336920000
2021-03-22,153.392502,159.100006,149.800003,152.601501,152.601501,331098000
2021-03-29,152.772003,158.121994,151.422501,158.050003,158.050003,222356000
2021-04-05,158.649994,168.610001,158.061996,168.610001,168.610001,327450000
2021-04-12,167.760498,171.600006,166.300003,169.972000,169.972000,323248000
2021-04-19,169.516495,171.796494,165.072495,167.044006,167.044006,266660000
2021-04-26,167.399994,177.699997,166.546997,173.371002,173.371002,560628000
2021-05-03,174.236496,174.332504,162.360001,164.580505,164.580505,483684000
2021-05-10,164.115997,164.149994,156.368500,161.145004,161.145004,441414000
2021-05-17,162.296494,165.600006,159.199997,160.154007,160.154007,319402000
2021-05-24,160.774994,164.786499,160.524994,161.153503,161.153503,259178000
2021-05-31,162.175003,162.548996,159.201508,160.311005,160.311005,181850000
2021-06-07,159.866501,168.328995,158.610001,167.341507,167.341507,287638000
2021-06-14,167.341507,175.350006,166.774994,174.345001,174.345001,391658000
2021-06-21,173.820999,176.242996,169.709000,170.072998,170.072998,344170000
